id,Provincia,Direccion
A Corunia Tren,A Corunia,Estacion de Corunia
A Corunia Bus,A Corunia,Estacion de Autobuses de Corunia
Albacete Tren,Albacete,Estacion de Albacete
Albacete Bus,Albacete,Estacion de Autobuses de Albacete
Alicante Tren,Alicante,Estacion de Alicante
Alicante Bus,Alicante,Estacion de Autobuses de Alicante
Almeria Tren,Almeria,Estacion de Almeria
Avila Tren,Avila,Estacion de Avila
Avila Bus,Avila,Estacion de Autobuses de Avila
Badajoz Tren,Badajoz,Estacion de Badajoz
Badajoz Bus,Badajoz,Estacion de Autobuses de Badajoz
Barcelona Tren,Barcelona,Estacion de Barcelona
Barcelona Bus,Barcelona,Estacion de Autobuses de Barcelona
Bilbao Tren,Bilbao,Estacion de Bilbao
Bilbao Bus,Bilbao,Estacion de Autobuses de Bilbao
Burgos Tren,Burgos,Estacion de Burgos
Burgos Bus,Burgos,Estacion de Autobuses de Burgos
Caceres Tren,Caceres,Estacion de Caceres
Caceres Bus,Caceres,Estacion de Autobuses de Caceres
Cadiz Tren,Cadiz,Estacion de Cadiz
Cadiz Bus,Cadiz,Estacion de Autobuses de Cadiz
Castellon Tren,Castellon,Estacion de Castellon
Castellon Bus,Castellon,Estacion de Autobuses de Castellon
Ciudad Real Tren,Ciudad Real,Estacion de Ciudad Real
Ciudad Real Bus,Ciudad Real,Estacion de Autobuses de Ciudad Real
Cordoba Tren,Cordoba,Estacion de Cordoba
Cordoba Bus,Cordoba,Estacion de Autobuses de Cordoba
Cuenca Tren,Cuenca,Estacion de Cuenca
Cuenca Bus,Cuenca,Estacion de Autobuses de Cuenca
Girona Tren,Girona,Estacion de Girona
Girona Bus,Girona,Estacion de Autobuses de Girona
Granada Tren,Granada,Estacion de Granada
Granada Bus,Granada,Estacion de Autobuses de Granada
Guadalajara Tren,Guadalajara,Estacion de Guadalajara
Guadalajara Bus,Guadalajara,Estacion de Autobuses de Guadalajara
Huelva Tren,Huelva,Estacion de Huelva
Huelva Bus,Huelva,Estacion de Autobuses de Huelva
Huesca Tren,Huesca,Estacion de Huesca
Huesca Bus,Huesca,Estacion de Autobuses de Huesca
Jaen Tren,Jaen,Estacion de Jaen
Jaen Bus,Jaen,Estacion de Autobuses Jaen
Leon Tren,Leon,Estacion de Leon
Leon Bus,Leon,Estacion de Autobuses de Leon
Lerida Tren,Lerida,Estacion de Lerida
Lerida Bus,Lerida,Estacion de Autobuses de Lerida
Logrono Tren,Logrono,Estacion de Logronio
Logrono Bus,Logrono,Estacion de Autobuses de Logronio
Lugo Tren,Lugo,Estacion de Lugo
Lugo Bus,Lugo,Estacion de Autobuses de Lugo
Madrid Tren,Madrid,Estacion de Madrid
Madrid Bus,Madrid,Estacion de Autobuses de Madrid
Malaga Tren,Malaga,Estacion de Malaga
Malaga Bus,Malaga,Estacion de Autobuses de Malaga
Murcia Tren,Murcia,Estacion de Murcia
Murcia Bus,Murcia,Estacion de Autobuses de Murcia
Ourense Tren,Ourense,Estacion de Ourense
Ourense Bus,Ourense,Estacion de Autobuses de Ourense
Oviedo Tren,Oviedo,Estacion de Oviedo
Oviedo Bus,Oviedo,Estacion de Autobuses de Oviedo
Palencia Tren,Palencia,Estacion de Palencia
Palencia Bus,Palencia,Estacion de Autobuses de Palencia
Pamplona Tren,Pamplona,Estacion de Pamplona
Pamplona Bus,Pamplona,Estacion de Autobuses de Pamplona
Pontevedra Tren,Pontevedra,Estacion de Pontevedra
Pontevedra Bus,Pontevedra,Estacion de Autobuses de Pontevedra
Salamanca Tren,Salamanca,Estacion de Salamanca
Salamanca Bus,Salamanca,Estacion de Autobuses de Salamanca
San Sebastian Tren,San Sebastian,Estacion de San Sebastian
Santander Tren,Santander,Estacion de Santander
Santander Bus,Santander,Estacion de Autobuses de Santander
Segovia Tren,Segovia,Estacion de Segovia
Segovia Bus,Segovia,Estacion de Autobuses de Segovia
Sevilla Tren,Sevilla,Estacion de Sevilla
Sevilla Bus,Sevilla,Estacion de Autobuses de Sevilla
Soria Tren,Soria,Estacion de Soria
Soria Bus,Soria,Estacion de Autobuses de Soria
Tarragona Tren,Tarragona,Estacion de Tarragona
Tarragona Bus,Tarragona,Estacion de Autobuses de Tarragona
Teruel Tren,Teruel,Estacion de Teruel
Teruel Bus,Teruel,Estacion de Autobuses de Teruel
Toledo Tren,Toledo,Estacion de Toledo
Toledo Bus,Toledo,Estacion de Autobuses de Toledo
Valencia Tren,Valencia,Estacion de Valencia
Valencia Bus,Valencia,Estacion de Autobuses de Valencia
Valladolid Tren,Valladolid,Estacion de Valladolid
Valladolid Bus,Valladolid,Estacion de Autobuses de Valladolid
Vitoria Tren,Vitoria,Estacion de Vitoria
Vitoria Bus,Vitoria,Estacion de Autobuses de Vitoria
Zamora Tren,Zamora,Estacion de Zamora
Zamora Bus,Zamora,Estacion de Autobuses de Zamora
Zaragoza Tren,Zaragoza,Estacion de Zaragoza
Zaragoza Bus,Zaragoza,Estacion de Autobuses de Zaragoza
