X,Y,gml_id,IdVrtPPElectrolinera,IdPerVertPPElectrolinera,NombreDireccion,TV_NOMBRE,TDIS_DES_NOMBRE,TBAR_DES_NOMBRE,NumeroPlazas,NumeroMangeras,TipoCarga,Origen
-2.9324627,43.2599543,electrolineras.0,77,37,Parking instituto Unamuno,URQUIJO (AL),6 ABANDO,601 ABANDO,4,4,Lenta (3-7 kW),
-2.9345465,43.2624286,electrolineras.1,26,26,Elkano,ELCANO (CL),6 ABANDO,601 ABANDO,2,2,Rápida (43-50 kW),Convenio Ayto-IBERDROLA
-2.9305697,43.2633049,electrolineras.2,190,190,Parking del Ensanche,COLON DE LARREATEGUI (CL),6 ABANDO,601 ABANDO,6,6,Lenta (3-7 kW),
-2.9292902,43.2612993,electrolineras.3,155,155,"Parking El Corte Ingles  (On Diego López Haroko Kale Nagusia, 11)",AYALA CANCILLER (CL),6 ABANDO,601 ABANDO,3,3,Semirápida (11-22 kW),
-2.9307591,43.2604112,electrolineras.4,156,156,"Parking Sercotel (Urkixo Zumarkalea, 10)",URQUIJO (AL),6 ABANDO,601 ABANDO,1,1,Semirápida (11-22 kW),
-2.9445668,43.2664171,electrolineras.5,66,33,Parking Euskalduna,ABANDOIBARRA (AV),6 ABANDO,602 INDAUTXU,3,3,Lenta (3-7 kW),
-2.9447237,43.2667254,electrolineras.6,169,169,Euskalduna 0 P.1( ABANDOIBARRA 4),ABANDOIBARRA (AV),6 ABANDO,602 INDAUTXU,,,Lenta (3-7 kW),
-2.9369252,43.2601456,electrolineras.7,157,157,"Parking - La Alhóndiga (Alameda de Urquijo, 43)",URQUIJO (AL),6 ABANDO,602 INDAUTXU,9,9,Semirápida (11-22 kW),
-2.9409528,43.2607452,electrolineras.8,158,158,"Parking Indautxu( Plaza Indautxu, 2)",URQUIJO (AL),6 ABANDO,602 INDAUTXU,2,2,Semirápida (11-22 kW),
-2.9445795,43.2640141,electrolineras.9,197,197,Parking Ilunion,RODRIGUEZ ARIAS (CL),6 ABANDO,602 INDAUTXU,1,1,Lenta (3-7 kW),
-2.9397305,43.2585745,electrolineras.10,25,25,Parking Hotel Silken,GORDONIZ (CL),6 ABANDO,602 INDAUTXU,1,1,Rápida (43-50 kW),Convenio Ayto-IBIL
-2.9404493,43.2586919,electrolineras.11,212,212,"Silken Indautxu (Pérez Galdós Kalea, 1)",PEREZ GALDOS (CL),6 ABANDO,602 INDAUTXU,1,1,Lenta (3-7 kW),
-2.9285771,43.2581074,electrolineras.12,78,38,Parking Confersa ADIF,BAILEN (CL),5 IBAIONDO,507 SAN FRANCISCO,2,2,Lenta (3-7 kW),
-2.9143577,43.2587991,electrolineras.13,24,24,"IBIL Begoña(Virgen de Begoña Kalea, 43)",VIRGEN DE BEGOÑA (CL),4 BEGOÑA,401 BEGOÑA,2,2,Rápida (43-50 kW),Convenio Ayto-IBIL
-2.911544,43.2541677,electrolineras.14,177,177,"Parking El Karmelo Bilbao(Karmelo Kalea, 15)",KARMELO (CL),4 BEGOÑA,402 SANTUTXU,6,6,Lenta (3-7 kW),
-2.9270903,43.264786,electrolineras.15,27,27,Paseo Uribitarte,URIBITARTE (PS),6 ABANDO,601 ABANDO,2,2,Rápida (43-50 kW),Convenio Ayto-IBERDROLA
-2.9338018,43.2675394,electrolineras.16,161,161,Gran Hotel Domine (Tesla DC),MAZARREDO (AL),6 ABANDO,601 ABANDO,1,1,Semirápida (11-22 kW),
-2.9132525,43.2575808,electrolineras.17,179,179,"Hotel Occidental Bilbao Tesla DC (Zumalacárregui Etorb., 40)",MASUSTEGI (CL),4 BEGOÑA,401 BEGOÑA,2,2,Semirápida (11-22 kW),
-2.9396714,43.2671153,electrolineras.18,58,31,Lehendakari Leizaola,LEIZAOLA LEHENDAKARI (CL),6 ABANDO,602 INDAUTXU,2,2,Rápida (43-50 kW),Convenio Ayto-IBERDROLA
-2.933745,43.2570023,electrolineras.19,171,171,Parking Zabalburu,JUAN DE GARAY (CL),6 ABANDO,601 ABANDO,6,6,Lenta (3-7 kW),
-2.9477431,43.2587097,electrolineras.20,28,28,Sabino Arana 53,ARANA SABINO                                       (AV),8 BASURTU-ZORROTZA,801 BASURTU,2,2,Rápida (43-50 kW),Convenio Ayto-IBIL
-2.9386422,43.2671244,electrolineras.21,160,160,Plaza Euskadi (Tesla DC)(c/Ramón Rubial y por Avda. Mazarredo),,6 ABANDO,601 ABANDO,3,3,Semirápida (11-22 kW),
-2.9603222,43.2416932,electrolineras.22,210,210,"Asador Arraiz(Arraiz Bidea, 116)",ARRAIZBIDEA (CM),7 ERREKALDE,707 DISEMINADO,3,3,Rápida (43-50 kW),
-2.9504414,43.2616878,electrolineras.23,193,193,Parking Intermodal Bilbao,GURTUBAY (CL),8 BASURTU-ZORROTZA,801 BASURTU,16,16,Lenta (3-7 kW),
-2.9547604,43.2735926,electrolineras.24,23,23,Plaza Ugarteko,UGARTEKO (PL),1 DEUSTU,103 IBARREKOLANDA,2,2,Rápida (43-50 kW),Convenio Ayto-IBERDROLA
-2.9265437,43.2490529,electrolineras.25,30,30,Gernika Lorategia 25,GERNIKA (JS),5 IBAIONDO,511 MIRIBILLA,2,2,Rápida (43-50 kW),Convenio Ayto-IBERDROLA
-2.9048894,43.2482759,electrolineras.26,79,39,Parking Eroski Bolueta,BILBAO-GALDAKAO (CR),4 BEGOÑA,403 BOLUETA,3,3,Semirápida (11-22 kW),Convenio Ayto-IBIL
